fecha,codigo_art,dias_reaprovisionamiento,ingreso,egreso
2023-12-12,09-10016N,90,12,12
2023-12-13,09-10016N,90,0,104
2023-12-14,09-10016N,90,40,192
2023-12-18,09-10016N,90,12,24
2023-12-19,09-10016N,90,0,24
2023-12-20,09-10016N,90,0,8
2023-12-21,09-10016N,90,100,736
2023-12-22,09-10016N,90,4,8
2023-12-27,09-10016N,90,0,40
2024-01-04,09-10016N,90,400,0
2024-01-09,09-10016N,90,440,0
2024-01-10,09-10016N,90,0,8
2024-01-11,09-10016N,90,0,132
2024-01-12,09-10016N,90,0,120
2024-01-15,09-10016N,90,192,228
2024-01-16,09-10016N,90,0,192
2024-01-17,09-10016N,90,0,48
2024-01-24,09-10016N,90,24,168
2024-01-25,09-10016N,90,0,8
2024-01-29,09-10016N,90,100,200
2024-01-30,09-10016N,90,44,96
2024-02-01,09-10016N,90,480,0
2024-02-06,09-10016N,90,0,188
2024-02-07,09-10016N,90,500,0
2024-02-08,09-10016N,90,0,4
2024-02-09,09-10016N,90,0,128
2024-02-14,09-10016N,90,120,320
2024-02-16,09-10016N,90,604,0
2024-02-19,09-10016N,90,112,408
2024-02-20,09-10016N,90,24,88
2024-02-21,09-10016N,90,252,252
2024-02-22,09-10016N,90,140,280
2024-02-26,09-10016N,90,240,640
2024-03-01,09-10016N,90,500,120
2024-03-08,09-10016N,90,480,600
2024-03-11,09-10016N,90,48,108
2024-03-13,09-10016N,90,40,136
2024-03-14,09-10016N,90,4,88
2024-03-15,09-10016N,90,48,132
2024-03-18,09-10016N,90,0,100
2024-03-25,09-10016N,90,640,0
2024-03-26,09-10016N,90,20,40
2024-03-27,09-10016N,90,100,200
2024-03-28,09-10016N,90,52,572
2024-04-10,09-10016N,90,360,0
2024-04-15,09-10016N,90,0,60
2024-04-16,09-10016N,90,60,128
2024-04-18,09-10016N,90,0,100
2024-04-19,09-10016N,90,300,120
2024-04-22,09-10016N,90,120,120
2024-04-24,09-10016N,90,0,48
2024-04-26,09-10016N,90,0,20
2024-04-29,09-10016N,90,0,156
2024-04-30,09-10016N,90,80,168
2024-05-02,09-10016N,90,660,0
2024-05-10,09-10016N,90,488,120
2024-05-13,09-10016N,90,100,260
2024-05-15,09-10016N,90,60,176
2024-05-16,09-10016N,90,0,8
2024-05-17,09-10016N,90,0,8
2024-05-20,09-10016N,90,24,96
2024-05-21,09-10016N,90,180,480
2024-05-22,09-10016N,90,0,0
2024-05-23,09-10016N,90,12,140
2024-05-24,09-10016N,90,0,24
2024-05-28,09-10016N,90,52,144
2024-05-29,09-10016N,90,0,84
2024-05-31,09-10016N,90,12,48
2024-06-04,09-10016N,90,60,60
2024-06-06,09-10016N,90,788,0
2024-06-11,09-10016N,90,0,300
2024-06-12,09-10016N,90,100,240
2024-06-13,09-10016N,90,0,8
2024-06-14,09-10016N,90,0,80
2024-06-18,09-10016N,90,204,108
2024-06-19,09-10016N,90,0,140
2024-06-26,09-10016N,90,452,80
2024-06-28,09-10016N,90,52,228
2024-07-05,09-10016N,90,40,84
2024-07-08,09-10016N,90,0,4
2024-07-10,09-10016N,90,40,84
2024-07-11,09-10016N,90,80,280
2024-07-15,09-10016N,90,160,8
2024-07-17,09-10016N,90,732,0
2024-07-18,09-10016N,90,140,452
2024-07-19,09-10016N,90,8,20
2024-07-22,09-10016N,90,412,68
2024-07-23,09-10016N,90,84,148
2024-07-24,09-10016N,90,784,904
2024-07-25,09-10016N,90,240,264
2024-07-26,09-10016N,90,64,172
2024-07-29,09-10016N,90,68,336
2024-07-30,09-10016N,90,0,104
2024-07-31,09-10016N,90,172,408
2024-08-02,09-10016N,90,0,92
2024-08-05,09-10016N,90,940,0
2024-08-06,09-10016N,90,608,0
2024-08-08,09-10016N,90,828,0
2024-08-09,09-10016N,90,0,4
2024-08-12,09-10016N,90,668,0
2024-08-14,09-10016N,90,40,80
2024-08-16,09-10016N,90,8,8
2024-08-19,09-10016N,90,608,4
2024-08-20,09-10016N,90,0,60
2024-08-21,09-10016N,90,124,356
2024-08-22,09-10016N,90,752,612
2024-08-23,09-10016N,90,376,376
